MC Hariel;Funk;R$ 12.000,00;0pcoadNMmvrUyab1RxWBoV
MC IG;Funk;R$ 7.000,00;2q9wk5fkeU2C9CgCKdh4AN
MC Koringa;Funk;R$ 40.000,00;1pk1stIyHnuK6lXZ8QiNKt
Mc Leozinho;Funk;R$ 35.000,00;2yf5bDosXW9OXQAlTVIXNr
MC Livinho;Funk;R$ 60.000,00;7me0S5Z40qVWj3gzyK8aC3
Mc Marcinho;Funk;R$ 37.000,00;3ZJCmnY5iUo1M0UFFWDXGf
MC Menor da VG;Funk;R$ 12.000,00;4maKTxhTIDEnWKra7wEIMR
MC MM;Funk;R$ 11.000,00;3a5ydeAaojKa3CHWe5PVWK
Mc Nego Blue;Funk;R$ 8.000,00;5weiAKislfmFCXTe79irxU
Mc Neguinho do Kaxeta;Funk;R$ 7.000,00;27mVhYvJa7apj1zCoZ9TF2
Mc Pedrinho;Funk;R$ 17.000,00;1etNnR2SdlelBQAICa2Q5m
Mc Sapão;Funk;R$ 30.000,00;4I4iP1ZXPT2eLo3R4cBPig
MC Tati Zaqui;Funk;R$ 18.000,00;0e68cnJyUTJu1nEuxxMSLm
Michel Teló;Sertanejo;R$ 150.000,00;1sDVuztNhGcetCLChkleDA
Monobloco;Samba;R$ 90.000,00;4EU2koSlyxLmiyslykCis5
Nando Reis;Pop Rock;R$ 100.000,00;7n1XMwvxPf10t4OX6h6Ufy
Nego do Borel;Funk;R$ 92.000,00;1B0Rp4SWGnFgGCPU5Pju6E
Paralamas do Sucesso;Pop Rock;R$ 90.000,00;7EM9m7HOXxVgP9oEpDDv70
Péricles;Samba;R$ 120.000,00;6gEzJZrbm0F4ihvE9iXR9z
Pixote;Samba;R$ 33.000,00;0ciLF0bOuu2BhqzCEZgHoB
Preta Gil;MPB ;R$ 80.000,00;1i2xi8v7H0aXgMNZcOaYzB
Raça Negra;Samba;R$ 80.000,00;1RnHJ07H3jcpay9PrUPjnt
Raimundos;Pop Rock;R$ 40.000,00;3CfJckVRuukdJSvK3r89yJ
Saulo Fernandes;Axé;R$ 145.000,00;0Dc8MsvptXCM5DvYF3RCym?
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
