Cache,Popularidade,Clustering Coefficient,Densidade,Indegree
6000,27,0.5312706036971783,0.21428571428571427,10
115000,64,0.7585016530170527,0.6428571428571429,1
280000,82,0.7561814568920378,0.45476190476190476,1
40000,11,0.6211409888269741,0.5047619047619047,7
280000,87,0.691616286302146,0.25,4
50000,68,0.6543343936618763,0.4357142857142857,7
88000,59,0.7933616785343793,0.7142857142857143,20
88000,59,0.7933616785343793,0.7142857142857143,20
28000,10,0.5928844342814075,0.3738095238095238,2
340000,51,0.7283442891195179,0.6357142857142857,3
100000,70,0.7718072642053374,0.6928571428571428,19
70000,51,0.6341048315682017,0.430952380952381,0
25000,51,0.7091327122584408,0.3904761904761905,14
50000,52,0.551306843424934,0.32857142857142857,9
90000,62,0.8036415518294459,0.7476190476190476,17
220000,76,0.8542519411891456,0.7476190476190476,19
58000,47,0.6037537721655875,0.38333333333333336,9
20000,14,0.41872216970615267,0.21904761904761905,1
150000,67,0.7903320117941952,0.7142857142857143,20
55000,34,0.647564957890824,0.49523809523809526,12
220000,63,0.8055825202872973,0.638095238095238,20
60000,46,0.7732043451709727,0.65,17
40000,66,0.8417563530615114,0.7928571428571428,14
75000,56,0.7945960568012842,0.7023809523809523,20
240000,66,0.7904106395409033,0.5761904761904761,14
38000,64,0.6360314396003697,0.34523809523809523,0
260000,76,0.8299245743617574,0.44047619047619047,5
105000,64,0.7147527387543183,0.6095238095238096,16
10000,47,0.592066784766885,0.4095238095238095,13
8000,60,0.5152824904282683,0.4166666666666667,3
13000,16,0.5083800696799351,0.20238095238095238,4
6000,25,0.0,0,0
13000,43,0.4967571812890328,0.31666666666666665,0
28000,68,0.7882687742631291,0.7285714285714285,16
58000,62,0.7264267220380473,0.3238095238095238,6
50000,63,0.76039179355445,0.5047619047619047,10
280000,71,0.8128288048015132,0.7119047619047619,19
150000,64,0.8166453996569433,0.5261904761904762,10
40000,60,0.6622915769936059,0.48333333333333334,11
28000,60,0.7895795289235059,0.7166666666666667,4
45000,70,0.777273211384173,0.6904761904761905,16
60000,52,0.7059767887640793,0.5476190476190477,13
190000,56,0.8191726791119733,0.6166666666666667,20
510000,85,0.7903522269217743,0.6880952380952381,14
105000,70,0.7766458044024693,0.6476190476190476,17
450000,79,0.7688150637903848,0.6666666666666666,13
100000,66,0.7724555796433954,0.6833333333333333,14
55000,53,0.7445577637855749,0.6523809523809524,17
500000,70,0.7499193147545844,0.5023809523809524,16
80000,41,0.7500341772362082,0.5857142857142857,11
75000,32,0.4817032222045698,0.16904761904761906,3
110000,65,0.8070113389528049,0.6666666666666666,19
155000,45,0.6709203019150869,0.5357142857142857,6
120000,63,0.8172829236977398,0.7595238095238095,20
450000,84,0.7726117657249273,0.6547619047619048,17
220000,66,0.6612909022476424,0.40476190476190477,14
130000,69,0.7850179183337445,0.6357142857142857,19
50000,59,0.6626145663192047,0.4095238095238095,10
77000,47,0.7220392369668864,0.4119047619047619,12
220000,79,0.6605639734104121,0.4023809523809524,10
350000,80,0.7447784850483509,0.6238095238095238,3
125000,71,0.7213468013800115,0.5428571428571428,13
135000,79,0.7430184721453341,0.3476190476190476,4
300000,69,0.7901606719153813,0.7214285714285714,11
200000,80,0.8088989211062911,0.680952380952381,19
40000,52,0.7798341586360135,0.6404761904761904,20
80000,65,0.6781928657999298,0.42857142857142855,12
120000,69,0.8186542047657925,0.7523809523809524,18
65000,55,0.7885476985649724,0.6904761904761905,20
400000,89,0.7947882192737217,0.6904761904761905,8
15000,48,0.5439661247429185,0.32142857142857145,2
